
,X,Y,Z,time
,4.03,-3.66,-3.66,2025-03-17T15:12:11.946123Z
,1.1,-3.66,-2.5,2025-03-17T15:12:13.066511Z
,0.79,-3.78,-2.26,2025-03-17T15:12:14.489576Z
,0.92,-3.72,-2.32,2025-03-17T15:12:15.260417Z
,0.43,-3.6,-2.44,2025-03-17T15:12:16.369205Z
,0.61,-3.17,-2.26,2025-03-17T15:12:17.473845Z
,0.18,-2.99,-2.56,2025-03-17T15:12:18.684124Z
,0.67,-3.42,-2.26,2025-03-17T15:12:19.686027Z
,0.98,-2.87,-2.38,2025-03-17T15:12:20.796769Z
,-0.06,-3.85,-3.3,2025-03-17T15:12:21.889825Z
,0.55,-3.6,-2.38,2025-03-17T15:12:22.996122Z
,1.1,-3.72,-2.38,2025-03-17T15:12:24.115391Z
,1.59,-3.23,-1.59,2025-03-17T15:12:25.208542Z
,0.98,-3.42,-2.69,2025-03-17T15:12:26.340364Z
,0.79,-3.3,-2.56,2025-03-17T15:12:27.466892Z
,0.67,-3.85,-2.26,2025-03-17T15:12:28.593159Z
,0.73,-2.38,-1.53,2025-03-17T15:12:29.620998Z
,1.1,-3.78,-2.14,2025-03-17T15:12:30.769018Z
,0.49,-3.54,-2.2,2025-03-17T15:12:31.836445Z
,0.73,-3.48,-2.44,2025-03-17T15:12:32.968613Z
,0.73,-3.6,-2.44,2025-03-17T15:12:34.044396Z
,0.61,-3.54,-2.44,2025-03-17T15:12:35.1523Z
,0.24,-3.17,-2.32,2025-03-17T15:12:36.256662Z
,0.67,-3.48,-2.32,2025-03-17T15:12:37.360083Z
,0.37,-3.54,-2.08,2025-03-17T15:12:38.526475Z
,0.67,-3.66,-2.5,2025-03-17T15:12:39.652345Z
,0.79,-3.6,-2.38,2025-03-17T15:12:40.67638Z
,0.55,-3.6,-2.44,2025-03-17T15:12:41.78151Z
,0.06,-3.78,-2.5,2025-03-17T15:12:42.884705Z
,0.85,-3.54,-2.38,2025-03-17T15:12:43.992171Z
,0.55,-3.3,-2.38,2025-03-17T15:12:45.182154Z
,0.73,-3.54,-2.26,2025-03-17T15:12:46.205524Z
,0.49,-3.42,-2.56,2025-03-17T15:12:47.333791Z
,0.85,-3.72,-2.5,2025-03-17T15:12:48.459116Z
,0.37,-3.66,-2.56,2025-03-17T15:12:49.525183Z
,0.79,-3.42,-2.08,2025-03-17T15:12:50.621544Z
,0.79,-3.48,-2.38,2025-03-17T15:12:51.730322Z
,0.24,-3.72,-2.87,2025-03-17T15:12:52.96432Z
,0.67,-3.42,-2.5,2025-03-17T15:12:53.988733Z
,0.67,-3.23,-2.5,2025-03-17T15:12:55.115255Z
,-0.55,-3.48,-1.83,2025-03-17T15:12:56.165332Z
,0.55,-3.36,-2.38,2025-03-17T15:12:57.265255Z
,0.61,-3.48,-2.44,2025-03-17T15:12:58.359239Z
,0.67,-3.54,-2.32,2025-03-17T15:12:59.46481Z
,0.92,-3.17,-2.44,2025-03-17T15:13:00.646243Z
,0.55,-3.48,-2.01,2025-03-17T15:13:01.670211Z
,0.73,-3.36,-2.32,2025-03-17T15:13:02.795018Z
,0.67,-3.17,-2.2,2025-03-17T15:13:03.883401Z
,0.61,-3.42,-2.32,2025-03-17T15:13:04.982561Z
,0.73,-3.6,-2.38,2025-03-17T15:13:06.090174Z
,0.24,-3.42,-2.32,2025-03-17T15:13:07.201627Z
,0.24,-3.3,-2.5,2025-03-17T15:13:08.324952Z
,0.55,-3.3,-2.32,2025-03-17T15:13:09.40685Z
,0.85,-3.6,-2.32,2025-03-17T15:13:10.578681Z
,0.67,-3.54,-2.26,2025-03-17T15:13:11.609082Z
,0.55,-3.42,-2.38,2025-03-17T15:13:12.716258Z
,0.79,-3.42,-2.38,2025-03-17T15:13:13.817332Z
,0.43,-3.54,-2.62,2025-03-17T15:13:14.92956Z
,0.61,-3.36,-2.14,2025-03-17T15:13:16.03195Z
,0.67,-3.36,-2.62,2025-03-17T15:13:17.233665Z
,0.37,-3.36,-2.26,2025-03-17T15:13:18.257739Z
,0.79,-3.6,-2.38,2025-03-17T15:13:19.349398Z
,0.37,-3.54,-2.44,2025-03-17T15:13:20.45566Z
,0.67,-3.42,-2.32,2025-03-17T15:13:21.63399Z
,1.4,-3.54,-1.53,2025-03-17T15:13:22.665497Z
,0.79,-3.54,-2.32,2025-03-17T15:13:23.767281Z
,0.37,-3.36,-2.56,2025-03-17T15:13:24.872479Z
,-0.12,-3.23,-2.2,2025-03-17T15:13:25.980347Z
,0.85,-3.97,-2.2,2025-03-17T15:13:27.169078Z
,0.92,-3.6,-2.56,2025-03-17T15:13:28.294868Z
,0.67,-3.42,-2.2,2025-03-17T15:13:29.294089Z
,0.92,-3.48,-2.2,2025-03-17T15:13:30.394111Z
,1.1,-3.72,-2.32,2025-03-17T15:13:31.570803Z
,-0.49,-2.93,-1.77,2025-03-17T15:13:32.696282Z
,0.67,-3.66,-2.32,2025-03-17T15:13:33.712446Z
,0.73,-3.91,-2.38,2025-03-17T15:13:34.871187Z
,0.85,-3.54,-2.2,2025-03-17T15:13:35.916063Z
,0.85,-3.6,-2.26,2025-03-17T15:13:37.099683Z
,0.55,-3.48,-2.14,2025-03-17T15:13:38.226008Z
,0.92,-3.6,-2.32,2025-03-17T15:13:39.250159Z
,0.92,-3.3,-2.38,2025-03-17T15:13:40.350126Z
,0.55,-3.72,-2.38,2025-03-17T15:13:41.502736Z
,-0.37,-3.3,-2.99,2025-03-17T15:13:42.630798Z
,1.22,-3.6,-2.32,2025-03-17T15:13:43.661558Z
,0.67,-3.36,-2.08,2025-03-17T15:13:44.912565Z
,0.85,-3.42,-2.2,2025-03-17T15:13:45.905805Z
,-1.04,-3.6,-3.66,2025-03-17T15:13:47.032378Z
,-0.31,-3.66,-2.87,2025-03-17T15:13:48.159037Z
,0.92,-3.72,-2.01,2025-03-17T15:13:49.285408Z
,0.73,-3.72,-2.14,2025-03-17T15:13:50.284753Z
,0.24,-3.23,-2.14,2025-03-17T15:13:51.435658Z
,0.61,-3.54,-2.38,2025-03-17T15:13:52.562091Z
,0.55,-3.48,-2.14,2025-03-17T15:13:53.601514Z
,0.55,-3.48,-3.05,2025-03-17T15:13:54.712895Z
,0.98,-3.3,-2.32,2025-03-17T15:13:55.839196Z
,1.22,-3.48,-2.26,2025-03-17T15:13:56.967009Z
,0.79,-3.72,-2.5,2025-03-17T15:13:58.09194Z
,0.73,-3.54,-2.38,2025-03-17T15:13:59.218764Z
,0.55,-3.6,-2.32,2025-03-17T15:14:00.24406Z
,0.61,-3.54,-2.32,2025-03-17T15:14:01.370307Z
,0.55,-3.6,-2.44,2025-03-17T15:14:02.731262Z
,0.61,-3.6,-2.38,2025-03-17T15:14:03.753105Z
,1.04,-3.54,-2.2,2025-03-17T15:14:04.74802Z
,0.24,-3.6,-2.5,2025-03-17T15:14:05.772706Z
,0.12,-3.54,-2.56,2025-03-17T15:14:06.898302Z
,0.67,-3.54,-2.32,2025-03-17T15:14:08.025055Z
,1.16,-3.42,-2.44,2025-03-17T15:14:09.151461Z
,0.61,-3.72,-2.38,2025-03-17T15:14:10.175377Z
,0.61,-3.54,-2.38,2025-03-17T15:14:11.303074Z
,0.85,-3.54,-2.32,2025-03-17T15:14:12.428284Z
,0.79,-3.6,-2.32,2025-03-17T15:14:13.555615Z
,0.85,-3.54,-2.26,2025-03-17T15:14:14.680869Z
,0.85,-3.72,-2.32,2025-03-17T15:14:15.700716Z
,0.31,-3.42,-2.44,2025-03-17T15:14:16.821579Z
,0.85,-3.48,-2.2,2025-03-17T15:14:17.933972Z
,0.18,-3.36,-2.32,2025-03-17T15:14:19.013235Z
,0.61,-3.54,-2.38,2025-03-17T15:14:20.210767Z
,0.73,-3.54,-2.44,2025-03-17T15:14:21.221184Z
,0.85,-3.54,-2.2,2025-03-17T15:14:22.329815Z
,0.73,-3.48,-2.5,2025-03-17T15:14:23.487352Z
,0.79,-3.54,-2.44,2025-03-17T15:14:24.535545Z
,0.67,-3.48,-2.26,2025-03-17T15:14:25.646263Z
,0.67,-3.54,-2.44,2025-03-17T15:14:26.757761Z
,0.73,-3.48,-2.44,2025-03-17T15:14:27.848403Z
,0.67,-3.42,-2.26,2025-03-17T15:14:29.017053Z
,1.1,-3.6,-2.26,2025-03-17T15:14:30.067188Z
,0.67,-3.54,-2.26,2025-03-17T15:14:31.170036Z
,0.43,-3.6,-2.38,2025-03-17T15:14:32.294047Z
,0.79,-3.36,-2.38,2025-03-17T15:14:33.421829Z
,0.31,-3.6,-2.38,2025-03-17T15:14:34.486531Z
,0.24,-3.42,-2.38,2025-03-17T15:14:35.598589Z
,0.55,-3.42,-2.56,2025-03-17T15:14:36.69183Z
,0.73,-3.66,-2.26,2025-03-17T15:14:37.801333Z
,0.67,-3.48,-2.44,2025-03-17T15:14:38.951663Z
,1.34,-3.72,-2.38,2025-03-17T15:14:40.077675Z
,0.98,-3.66,-2.44,2025-03-17T15:14:41.12001Z
,0.73,-3.54,-2.38,2025-03-17T15:14:42.213883Z
,0.67,-3.48,-2.44,2025-03-17T15:14:43.323449Z
,0.73,-3.42,-2.69,2025-03-17T15:14:44.428429Z
,0.98,-3.48,-2.26,2025-03-17T15:14:45.533103Z
,0.92,-3.72,-2.38,2025-03-17T15:14:46.634345Z
,0.79,-3.72,-2.38,2025-03-17T15:14:47.739795Z
,0.55,-3.54,-2.32,2025-03-17T15:14:48.882416Z
,0.67,-3.48,-2.44,2025-03-17T15:14:49.956291Z
,0.61,-3.48,-2.38,2025-03-17T15:14:51.056199Z
,0.79,-3.54,-2.26,2025-03-17T15:14:52.185332Z
,1.28,-3.42,-1.83,2025-03-17T15:14:53.816815Z
,1.71,-4.03,-1.71,2025-03-17T15:14:54.411303Z
,0.43,-3.3,-2.5,2025-03-17T15:14:55.467417Z
,0.61,-3.6,-2.26,2025-03-17T15:14:56.572934Z
,0.98,-3.72,-2.32,2025-03-17T15:14:57.687789Z
,0.31,-3.3,-2.5,2025-03-17T15:14:58.814273Z
,0.73,-3.54,-2.26,2025-03-17T15:14:59.940631Z
,0.79,-3.6,-2.26,2025-03-17T15:15:01.024729Z
,0.61,-3.48,-2.38,2025-03-17T15:15:02.193189Z
,0.55,-3.42,-2.38,2025-03-17T15:15:03.320773Z
,0.98,-3.54,-2.26,2025-03-17T15:15:04.306466Z
,1.04,-3.36,-1.95,2025-03-17T15:15:05.470978Z
,0.49,-3.48,-2.26,2025-03-17T15:15:06.935351Z
,1.28,-3.72,-2.56,2025-03-17T15:15:07.82608Z
,0.18,-3.36,-2.38,2025-03-17T15:15:08.746585Z
,0.73,-3.48,-2.81,2025-03-17T15:15:09.910578Z
,0.85,-3.42,-2.32,2025-03-17T15:15:10.934968Z
,1.04,-3.6,-2.32,2025-03-17T15:15:12.068795Z
,0.31,-3.36,-2.62,2025-03-17T15:15:13.252055Z
,0.55,-3.54,-2.38,2025-03-17T15:15:14.378585Z
,1.04,-3.78,-2.32,2025-03-17T15:15:15.402182Z
,0.79,-3.05,-1.89,2025-03-17T15:15:16.52876Z
,0.85,-3.78,-2.26,2025-03-17T15:15:17.569734Z
,0.49,-3.36,-2.38,2025-03-17T15:15:18.668879Z
,0.85,-3.54,-2.44,2025-03-17T15:15:19.857733Z
,0.67,-3.54,-2.32,2025-03-17T15:15:21.03432Z
,0.73,-3.42,-2.38,2025-03-17T15:15:22.346301Z
,0.67,-3.48,-2.32,2025-03-17T15:15:23.226032Z
,0.61,-3.48,-2.44,2025-03-17T15:15:24.311221Z
,0.79,-3.54,-2.32,2025-03-17T15:15:25.335042Z
,0.67,-3.48,-2.38,2025-03-17T15:15:26.769027Z
,0.67,-3.54,-2.26,2025-03-17T15:15:27.524672Z
,0.67,-3.42,-2.44,2025-03-17T15:15:28.632606Z
,0.61,-3.42,-2.38,2025-03-17T15:15:29.729259Z
,0.67,-3.36,-2.01,2025-03-17T15:15:30.833527Z
,0.67,-3.6,-2.26,2025-03-17T15:15:31.932372Z
,0.73,-3.48,-2.32,2025-03-17T15:15:33.11839Z
,0.92,-3.42,-2.44,2025-03-17T15:15:34.245645Z
,0.43,-3.36,-2.32,2025-03-17T15:15:35.496287Z
,0.73,-3.48,-2.32,2025-03-17T15:15:36.396868Z
,0.67,-3.66,-2.26,2025-03-17T15:15:37.451708Z
,0.67,-3.42,-2.26,2025-03-17T15:15:38.647152Z
,0.73,-3.54,-2.32,2025-03-17T15:15:39.773562Z
,0.61,-3.6,-2.26,2025-03-17T15:15:40.764409Z
,0.79,-3.54,-2.26,2025-03-17T15:15:42.437526Z
,0.67,-3.54,-2.32,2025-03-17T15:15:43.050515Z
,0.67,-3.54,-2.32,2025-03-17T15:15:44.458307Z
,0.85,-3.42,-2.32,2025-03-17T15:15:45.221678Z
,0.55,-3.6,-2.32,2025-03-17T15:15:46.429581Z
,0.61,-3.48,-2.32,2025-03-17T15:15:47.41835Z
,0.73,-3.6,-2.26,2025-03-17T15:15:48.571856Z
,0.73,-3.42,-2.26,2025-03-17T15:15:49.607019Z
,0.79,-3.54,-2.26,2025-03-17T15:15:50.781654Z
,0.79,-3.42,-2.32,2025-03-17T15:15:52.368918Z
,0.67,-3.54,-2.26,2025-03-17T15:15:56.860269Z
,0.73,-3.48,-2.26,2025-03-17T15:15:57.156765Z
,0.73,-3.6,-2.38,2025-03-17T15:15:57.491464Z
,0.61,-3.48,-2.32,2025-03-17T15:15:57.782574Z
,0.55,-3.78,-2.32,2025-03-17T15:15:58.240421Z
,0.73,-3.54,-2.38,2025-03-17T15:15:58.922516Z
,-0.06,-3.42,-2.69,2025-03-17T15:15:59.549829Z
,0.18,-3.54,-2.32,2025-03-17T15:16:00.663331Z
,1.1,-3.66,-2.08,2025-03-17T15:16:02.609005Z
,0.24,-3.66,-2.44,2025-03-17T15:16:06.217318Z
,1.16,-3.72,-2.2,2025-03-17T15:16:06.511625Z
,0.73,-3.48,-2.08,2025-03-17T15:16:06.809838Z
,0.43,-3.42,-2.62,2025-03-17T15:16:07.110435Z
,0.55,-3.42,-2.2,2025-03-17T15:16:07.46311Z
,0.43,-3.66,-2.5,2025-03-17T15:16:08.445842Z
,0.92,-3.48,-2.2,2025-03-17T15:16:09.572287Z
,0.55,-3.42,-2.26,2025-03-17T15:16:10.587897Z
,0.79,-3.42,-2.2,2025-03-17T15:16:12.26084Z
,0.49,-3.6,-2.56,2025-03-17T15:16:12.794434Z
,0.73,-3.6,-2.38,2025-03-17T15:16:13.900679Z
,0.92,-3.6,-2.26,2025-03-17T15:16:15.254524Z
,0.67,-3.54,-2.26,2025-03-17T15:16:17.354824Z
,0.79,-3.6,-2.32,2025-03-17T15:16:17.662914Z
,0.67,-3.42,-2.32,2025-03-17T15:16:18.378786Z
,0.73,-3.54,-2.26,2025-03-17T15:16:19.506772Z
,0.67,-3.48,-2.32,2025-03-17T15:16:20.528865Z
,0.67,-3.6,-2.32,2025-03-17T15:16:21.652332Z
,0.73,-3.54,-2.26,2025-03-17T15:16:22.987575Z
,0.79,-3.6,-2.2,2025-03-17T15:16:23.841298Z
,0.79,-3.48,-2.26,2025-03-17T15:16:25.446491Z
,0.55,-3.54,-2.14,2025-03-17T15:16:26.060777Z
,0.79,-3.6,-2.26,2025-03-17T15:16:27.221076Z
,0.79,-3.42,-2.14,2025-03-17T15:16:28.261206Z
,0.98,-3.48,-2.26,2025-03-17T15:16:29.439039Z
,0.73,-3.54,-2.26,2025-03-17T15:16:30.566188Z
,0.79,-3.54,-2.26,2025-03-17T15:16:31.590266Z
,0.79,-3.48,-2.32,2025-03-17T15:16:32.678064Z
,0.67,-3.42,-2.26,2025-03-17T15:16:33.858716Z
,0.79,-3.54,-2.26,2025-03-17T15:16:34.968331Z
,0.85,-3.6,-2.14,2025-03-17T15:16:36.094162Z
,0.79,-3.48,-2.2,2025-03-17T15:16:37.097625Z
,0.67,-3.6,-2.32,2025-03-17T15:16:38.238229Z
,0.61,-3.54,-2.26,2025-03-17T15:16:39.310782Z
,0.73,-3.48,-2.32,2025-03-17T15:16:40.445129Z
,0.79,-3.54,-2.14,2025-03-17T15:16:41.523276Z
,0.73,-3.54,-2.38,2025-03-17T15:16:42.624333Z
,0.79,-3.42,-2.14,2025-03-17T15:16:43.733741Z
,0.79,-3.6,-2.2,2025-03-17T15:16:44.902191Z
,0.73,-3.42,-2.38,2025-03-17T15:16:45.935279Z
,0.73,-3.48,-2.26,2025-03-17T15:16:47.052452Z
,0.92,-3.48,-2.2,2025-03-17T15:16:48.145755Z
,0.73,-3.54,-2.5,2025-03-17T15:16:49.304Z
,0.73,-3.66,-2.5,2025-03-17T15:16:50.354203Z
,0.92,-3.72,-2.2,2025-03-17T15:16:51.457682Z
,0.73,-3.42,-2.14,2025-03-17T15:16:52.58211Z
,1.16,-3.48,-1.77,2025-03-17T15:16:53.707526Z
,0.31,-3.85,-2.69,2025-03-17T15:16:54.833756Z
,0.79,-3.66,-2.08,2025-03-17T15:16:55.960379Z
,0.79,-3.54,-2.2,2025-03-17T15:16:56.984057Z
,0.92,-3.6,-2.08,2025-03-17T15:16:58.110488Z
,0.79,-3.6,-2.32,2025-03-17T15:16:59.238475Z
,0.79,-3.54,-2.26,2025-03-17T15:17:00.36519Z
,0.85,-3.66,-2.2,2025-03-17T15:17:01.489722Z
,0.85,-3.54,-2.01,2025-03-17T15:17:02.513684Z
,0.85,-3.42,-2.26,2025-03-17T15:17:03.691524Z
,0.85,-3.78,-1.95,2025-03-17T15:17:04.766726Z
,0.73,-3.6,-2.32,2025-03-17T15:17:05.99697Z
,0.61,-3.36,-2.62,2025-03-17T15:17:06.967458Z
,0.85,-3.48,-2.08,2025-03-17T15:17:08.145896Z
,0.49,-3.36,-1.89,2025-03-17T15:17:09.170604Z
,1.04,-3.48,-2.14,2025-03-17T15:17:10.399326Z
,0.37,-3.54,-2.14,2025-03-17T15:17:11.348241Z
,0.61,-3.6,-2.44,2025-03-17T15:17:12.550558Z
,0.55,-3.66,-2.5,2025-03-17T15:17:13.57471Z
,0.73,-3.66,-2.26,2025-03-17T15:17:14.803451Z
,0.85,-3.6,-2.32,2025-03-17T15:17:15.827441Z
,0.79,-3.6,-2.2,2025-03-17T15:17:16.929955Z
,0.73,-3.6,-2.26,2025-03-17T15:17:18.079387Z
,0.79,-3.42,-2.14,2025-03-17T15:17:19.2051Z
,0.61,-3.6,-2.56,2025-03-17T15:17:20.229162Z
,0.43,-3.42,-2.44,2025-03-17T15:17:21.309772Z
,0.73,-3.6,-2.14,2025-03-17T15:17:22.396565Z
,0.79,-3.42,-2.14,2025-03-17T15:17:23.60848Z
,0.31,-3.54,-2.14,2025-03-17T15:17:24.632369Z
,0.67,-3.54,-2.26,2025-03-17T15:17:25.758912Z
,0.73,-3.36,-2.14,2025-03-17T15:17:26.988501Z
,0.67,-3.54,-2.14,2025-03-17T15:17:27.918206Z
,0.98,-3.66,-2.2,2025-03-17T15:17:29.034522Z
,-0.06,-3.42,-2.08,2025-03-17T15:17:30.128049Z
,0.92,-3.66,-2.2,2025-03-17T15:17:31.234208Z
,-68.42,-30.7,4.27,2025-03-17T15:17:32.41634Z
,-4.94,3.85,1.04,2025-03-17T15:17:33.439011Z
,-2.5,-6.47,3.42,2025-03-17T15:17:34.566118Z
,49.07,9.64,-10.56,2025-03-17T15:17:35.68168Z
,-12.08,-62.93,-5.55,2025-03-17T15:17:36.819926Z
,12.82,-4.27,-0.12,2025-03-17T15:17:37.86806Z
,3.48,-4.58,2.75,2025-03-17T15:17:38.964777Z
,-395.87,-258.54,119.93,2025-03-17T15:17:40.097191Z
,3.42,-1.59,-3.17,2025-03-17T15:17:41.1748Z
,-17.58,-4.27,-176.94,2025-03-17T15:17:42.347895Z
,1.4,-3.17,-2.26,2025-03-17T15:17:43.389433Z
,0.98,-3.48,-2.2,2025-03-17T15:17:46.34334Z
,0.55,-3.54,-2.26,2025-03-17T15:17:46.859648Z
,0.79,-3.48,-2.32,2025-03-17T15:17:47.162356Z
,0.61,-3.66,-2.2,2025-03-17T15:17:47.877542Z
,0.85,-3.6,-2.32,2025-03-17T15:17:48.937681Z
,0.85,-3.66,-2.14,2025-03-17T15:17:50.027973Z
,0.79,-3.42,-2.32,2025-03-17T15:17:51.196212Z
,0.79,-3.42,-2.32,2025-03-17T15:17:52.23739Z
,-3.36,-5.31,-4.52,2025-03-17T15:17:53.408534Z
,2.14,-3.11,-2.32,2025-03-17T15:17:54.432813Z
,1.28,-3.23,-2.38,2025-03-17T15:17:55.575283Z
,1.1,-3.36,-2.08,2025-03-17T15:17:58.243785Z
,0.55,-3.36,-2.56,2025-03-17T15:17:58.733743Z
,0.06,-3.85,-1.95,2025-03-17T15:17:59.023374Z
,0.55,-3.6,-2.38,2025-03-17T15:18:00.064311Z
,0.67,-3.6,-2.26,2025-03-17T15:18:01.086166Z
,0.79,-3.48,-2.38,2025-03-17T15:18:02.168158Z
,0.67,-3.54,-2.38,2025-03-17T15:18:03.443704Z
,0.98,-3.48,-2.32,2025-03-17T15:18:04.466624Z
,0.73,-3.54,-2.38,2025-03-17T15:18:05.551594Z
,0.79,-3.6,-2.38,2025-03-17T15:18:06.617417Z
,0.67,-3.6,-2.38,2025-03-17T15:18:07.695001Z
,0.85,-3.6,-2.26,2025-03-17T15:18:08.973377Z
,0.61,-3.66,-2.32,2025-03-17T15:18:09.996227Z
,0.61,-3.66,-2.32,2025-03-17T15:18:11.226302Z
,0.67,-3.66,-2.32,2025-03-17T15:18:12.109375Z
,0.79,-3.54,-2.32,2025-03-17T15:18:13.376184Z
,0.49,-3.66,-2.38,2025-03-17T15:18:14.399464Z
,0.55,-3.48,-2.38,2025-03-17T15:18:15.5265Z
,0.61,-3.6,-2.38,2025-03-17T15:18:16.529611Z
,0.55,-3.6,-2.38,2025-03-17T15:18:17.676302Z
,0.92,-3.42,-2.38,2025-03-17T15:18:18.804123Z
,0.24,-3.72,-2.32,2025-03-17T15:18:19.929179Z
,0.61,-3.6,-2.32,2025-03-17T15:18:20.952053Z
,0.67,-3.66,-2.32,2025-03-17T15:18:22.141437Z
,0.73,-3.54,-2.38,2025-03-17T15:18:23.207623Z
,0.73,-3.48,-2.38,2025-03-17T15:18:24.333524Z
,0.73,-3.6,-2.32,2025-03-17T15:18:25.371282Z
,0.73,-3.6,-2.32,2025-03-17T15:18:26.479441Z
,0.73,-3.54,-2.26,2025-03-17T15:18:27.647914Z
,0.61,-3.6,-2.26,2025-03-17T15:18:28.681993Z
,0.67,-3.54,-2.32,2025-03-17T15:18:29.785251Z
,0.67,-3.54,-2.38,2025-03-17T15:18:30.889333Z
,0.73,-3.54,-2.32,2025-03-17T15:18:32.034715Z
,0.67,-3.54,-2.38,2025-03-17T15:18:33.140007Z
,0.67,-3.6,-2.32,2025-03-17T15:18:34.212854Z
,0.67,-3.54,-2.38,2025-03-17T15:18:35.392654Z
,0.67,-3.48,-2.38,2025-03-17T15:18:36.420457Z
,0.73,-3.6,-2.32,2025-03-17T15:18:37.6452Z
,0.61,-3.6,-2.32,2025-03-17T15:18:38.634224Z
,0.61,-3.54,-2.38,2025-03-17T15:18:39.783808Z
,0.61,-3.48,-2.38,2025-03-17T15:18:40.922381Z
,0.73,-3.6,-2.32,2025-03-17T15:18:41.942093Z
,0.73,-3.6,-2.26,2025-03-17T15:18:43.072799Z
,0.73,-3.6,-2.38,2025-03-17T15:18:44.151875Z
,0.67,-3.48,-2.44,2025-03-17T15:18:45.324751Z
,0.73,-3.6,-2.32,2025-03-17T15:18:46.36405Z
,0.73,-3.6,-2.32,2025-03-17T15:18:47.498142Z
,0.85,-3.54,-2.38,2025-03-17T15:18:48.565037Z
,0.79,-3.6,-2.38,2025-03-17T15:18:49.853376Z
,0.79,-3.48,-2.32,2025-03-17T15:18:50.855961Z
,0.85,-3.48,-2.44,2025-03-17T15:18:51.880272Z
,0.67,-3.54,-2.32,2025-03-17T15:18:53.004871Z
,0.67,-3.6,-2.44,2025-03-17T15:18:54.098162Z
,0.73,-3.66,-2.32,2025-03-17T15:18:55.258648Z
,0.73,-3.48,-2.38,2025-03-17T15:18:56.301967Z
,0.79,-3.54,-2.32,2025-03-17T15:18:57.414079Z
,0.67,-3.6,-2.38,2025-03-17T15:18:58.511042Z
,0.79,-3.54,-2.38,2025-03-17T15:18:59.661489Z
,0.79,-3.54,-2.32,2025-03-17T15:19:00.787305Z
,0.79,-3.6,-2.38,2025-03-17T15:19:01.825454Z
,0.73,-3.36,-2.44,2025-03-17T15:19:03.040995Z
,0.85,-3.48,-2.32,2025-03-17T15:19:04.035692Z
,0.73,-3.48,-2.38,2025-03-17T15:19:05.192253Z
,0.67,-3.48,-2.32,2025-03-17T15:19:06.318315Z
,0.73,-3.6,-2.38,2025-03-17T15:19:07.502521Z
,0.55,-3.42,-2.32,2025-03-17T15:19:08.458397Z
,0.85,-3.54,-2.32,2025-03-17T15:19:09.593927Z
,0.73,-3.48,-2.26,2025-03-17T15:19:11.063011Z
,0.73,-3.48,-2.38,2025-03-17T15:19:13.807381Z
,0.55,-3.48,-2.38,2025-03-17T15:19:14.4803Z
,0.67,-3.6,-2.44,2025-03-17T15:19:14.773096Z
,0.73,-3.54,-2.38,2025-03-17T15:19:15.124489Z
,0.73,-3.54,-2.38,2025-03-17T15:19:16.19342Z
,0.61,-3.48,-2.38,2025-03-17T15:19:17.376126Z
,0.73,-3.42,-2.44,2025-03-17T15:19:18.459501Z
,0.73,-3.48,-2.32,2025-03-17T15:19:19.52823Z
,0.61,-3.54,-2.44,2025-03-17T15:19:20.656262Z
,0.67,-3.54,-2.38,2025-03-17T15:19:21.714738Z
,0.61,-3.48,-2.32,2025-03-17T15:19:22.906826Z
,0.73,-3.48,-2.44,2025-03-17T15:19:23.92353Z
,0.61,-3.6,-2.5,2025-03-17T15:19:25.057263Z
,0.67,-3.54,-2.32,2025-03-17T15:19:26.182841Z
,0.55,-3.48,-2.44,2025-03-17T15:19:27.309274Z
,0.61,-3.48,-2.44,2025-03-17T15:19:28.43719Z
,0.73,-3.48,-2.38,2025-03-17T15:19:29.459599Z
,0.49,-3.54,-2.38,2025-03-17T15:19:30.553193Z
,0.55,-3.54,-2.5,2025-03-17T15:19:31.647078Z
,1.16,-3.36,-2.32,2025-03-17T15:19:32.753162Z
,0.61,-3.42,-2.26,2025-03-17T15:19:33.86452Z
,0.73,-3.54,-2.44,2025-03-17T15:19:34.990242Z
,-0.06,-3.85,-2.38,2025-03-17T15:19:36.116266Z
,0.92,-3.42,-2.5,2025-03-17T15:19:37.242252Z
,1.59,-3.48,-2.44,2025-03-17T15:19:38.370144Z
,0.61,-3.54,-2.38,2025-03-17T15:19:39.391374Z
,0.67,-3.42,-2.38,2025-03-17T15:19:40.486315Z
,0.67,-3.54,-2.38,2025-03-17T15:19:41.592001Z
,0.79,-3.48,-2.38,2025-03-17T15:19:42.719348Z
,0.67,-3.54,-2.38,2025-03-17T15:19:43.802316Z
,0.73,-3.48,-2.44,2025-03-17T15:19:44.913643Z
,0.73,-3.48,-2.38,2025-03-17T15:19:46.050149Z
,0.79,-3.48,-2.38,2025-03-17T15:19:47.17664Z
,0.61,-3.54,-2.38,2025-03-17T15:19:48.223033Z
,0.73,-3.6,-2.38,2025-03-17T15:19:49.407417Z
,0.55,-3.48,-2.44,2025-03-17T15:19:50.42924Z
,0.55,-3.6,-2.5,2025-03-17T15:19:51.5423Z
,0.73,-3.54,-2.44,2025-03-17T15:19:53.114277Z
,0.73,-3.54,-2.44,2025-03-17T15:19:53.748936Z
,0.61,-3.6,-2.44,2025-03-17T15:19:54.85037Z
,0.73,-3.54,-2.44,2025-03-17T15:19:55.983012Z
,0.73,-3.54,-2.44,2025-03-17T15:19:57.108035Z
,0.79,-3.6,-2.5,2025-03-17T15:19:58.170612Z
