
,X,Y,Z,time
,1.59,-2.5,-2.87,2025-03-17T15:06:12.851161Z
,-2.01,-2.62,-2.99,2025-03-17T15:06:13.952943Z
,-4.52,-2.69,-3.66,2025-03-17T15:06:15.062389Z
,0.79,-4.21,-0.24,2025-03-17T15:06:16.165243Z
,1.65,-2.14,-2.81,2025-03-17T15:06:17.269185Z
,-1.28,-3.23,-2.87,2025-03-17T15:06:18.386666Z
,0.55,-3.91,-2.2,2025-03-17T15:06:19.479049Z
,0.49,-3.66,-2.5,2025-03-17T15:06:20.582234Z
,-0.06,-3.05,-2.69,2025-03-17T15:06:21.690632Z
,0.12,-4.33,-1.77,2025-03-17T15:06:22.79549Z
,-0.06,-4.27,-1.59,2025-03-17T15:06:23.899238Z
,0.85,-2.14,-3.78,2025-03-17T15:06:25.006256Z
,2.75,-3.05,-2.93,2025-03-17T15:06:26.115491Z
,0.55,-3.05,-2.32,2025-03-17T15:06:27.214292Z
,1.89,-3.54,-2.14,2025-03-17T15:06:28.318864Z
,1.53,-3.3,-2.69,2025-03-17T15:06:29.425711Z
,0.98,-4.46,-2.38,2025-03-17T15:06:30.531222Z
,-10.8,-6.41,-1.04,2025-03-17T15:06:31.672554Z
,-41.93,35.46,-21.55,2025-03-17T15:06:32.738558Z
,-1.34,-0.24,-8,2025-03-17T15:06:33.843316Z
,3.48,-0.85,-2.2,2025-03-17T15:06:34.950006Z
,0.49,-3.66,-2.5,2025-03-17T15:06:36.05321Z
,0.85,-3.91,-2.44,2025-03-17T15:06:37.157318Z
,-0.06,-3.97,-2.62,2025-03-17T15:06:38.277253Z
,0.92,-3.54,-2.5,2025-03-17T15:06:39.366031Z
,0.67,-3.66,-2.32,2025-03-17T15:06:40.471499Z
,0.67,-3.85,-2.44,2025-03-17T15:06:41.578204Z
,0.55,-3.36,-2.5,2025-03-17T15:06:42.683214Z
,0.49,-3.6,-2.5,2025-03-17T15:06:43.787843Z
,-0.67,-4.33,-2.87,2025-03-17T15:06:44.893682Z
,0.55,-3.85,-2.62,2025-03-17T15:06:45.998227Z
,-0.24,-4.39,-2.75,2025-03-17T15:06:47.132039Z
,0.43,-3.54,-2.81,2025-03-17T15:06:48.209Z
,0,-3.48,-2.69,2025-03-17T15:06:49.312333Z
,-0.18,-3.6,-2.69,2025-03-17T15:06:50.41728Z
,0.92,-3.23,-2.32,2025-03-17T15:06:51.523178Z
,-0.73,-4.21,-2.56,2025-03-17T15:06:52.628759Z
,0.79,-3.3,-2.44,2025-03-17T15:06:53.734681Z
,1.16,-3.36,-2.32,2025-03-17T15:06:54.833614Z
,-1.4,-0.98,-3.05,2025-03-17T15:06:55.941719Z
,0.92,-3.17,-2.44,2025-03-17T15:06:57.047317Z
